cp_category,cp_model,group_key,art_print,pp,product_id,rank,image_url
Чёрные софт-тач,Honor Magic 7,A:501945,S501945,ПП2,727121059,12,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/W501945.webp
Матовые цветные чехлы для печати,Honor Magic 7 Pro,A:501947,W501947,ПП2,1140199788,29,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/W501947.webp
Силиконовые чехлы,Honor Magic 7 Pro,A:501958,W501958,ПП2,1196480008,137,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/W501958.webp
Стеклянные чехлы,Honor Magic 7 Pro,A:501977,Q5019771,ПП2,727526450,8,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/Q5019771.webp
Стеклянные чехлы,Honor Magic 7 Pro,A:501978,Q5019781,ПП2,727506307,1,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/Q5019781.webp
Стеклянные чехлы,Honor Magic 7 Pro,A:501980,Q5019801,ПП2,727507086,2,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/Q5019801.webp
Матовые цветные чехлы для печати,Honor Magic 7 Pro,A:502014,W502014,ПП2,1196044621,7,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/W502014.webp
Матовые цветные чехлы для печати,Honor Magic 7 Pro,A:502028,W502028,ПП2,1153219275,53,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/W502028.webp
Матовые цветные чехлы для печати,Honor Magic 7 Pro,A:502063,W502063,ПП2,1153015644,65,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/W502063.webp
Матовые цветные чехлы для печати,Honor Magic 7 Pro,A:502066,W502066,ПП2,1140210615,109,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/W502066.webp
Силиконовые чехлы,Honor Magic 7 Pro,A:506330,W506330,ПП2,1137023647,18,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/W5063301.webp
Силиконовые чехлы,Honor Magic 7 Pro,A:506331,W506331,ПП2,1137031185,9,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/W5063311.webp
Силиконовые чехлы,Honor Magic 7 Pro,A:506338,W506338,ПП2,1137084225,39,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/W5063381.webp
Матовые цветные чехлы для печати,Honor Magic 7 Pro,A:506339,W5063391,ПП2,1154086713,14,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/W5063391.webp
Силиконовые чехлы,Honor Magic 8 Pro Air,A:502010,W502010,ПП2,1266706503,1,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/W502010.webp
Силиконовые чехлы,Honor Power2,A:501980,Q501980,ПП2,1267411549,3,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/Q5019801.webp
Силиконовые чехлы,Honor X5c/X5c Plus/X5d/X5d Plus,A:501961,W501961,ПП2,933570206,23,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/W501961.webp
Силиконовые чехлы,Honor X5c/X5c Plus/X5d/X5d Plus,A:501975,Q501975,ПП2,933628714,143,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/Q501975.webp
Силиконовые чехлы,Honor X5c/X5c Plus/X5d/X5d Plus,A:501980,Q501980,ПП2,933601488,3,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/Q5019801.webp
Силиконовые чехлы,Honor X5c/X5c Plus/X5d/X5d Plus,A:501993,Q501993,ПП2,933589034,17,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/Q5019931.webp
Силиконовые чехлы,Honor X5c/X5c Plus/X5d/X5d Plus,A:502009,W502009,ПП2,933645220,14,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/W502009.webp
Силиконовые чехлы,Honor X5c/X5c Plus/X5d/X5d Plus,A:502010,W502010,ПП2,933545727,1,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/W502010.webp
Силиконовые чехлы,Honor X5c/X5c Plus/X5d/X5d Plus,A:502031,W502031,ПП2,933646929,36,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/W502031.webp
Силиконовые чехлы,Honor X5c/X5c Plus/X5d/X5d Plus,A:502037,W502037,ПП2,933597754,48,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/W502037.webp
Матовые цветные чехлы для печати,Honor X5c/X5c Plus/X5d/X5d Plus,A:502066,W502066,ПП2,1140061415,109,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/W502066.webp
Силиконовые чехлы,Honor X5c/X5c Plus/X5d/X5d Plus,A:506373,W506373,ПП2,1137406755,8,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/W506373.webp
Силиконовые чехлы,Honor X5c/X5c Plus/X5d/X5d Plus,A:506378,W506378,ПП2,1137430468,20,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/W506378.webp
Силиконовые чехлы,Honor X6b,A:501990,Q501990,ПП2,1123317143,38,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/Y501990.webp
Силиконовые чехлы,Honor X6b,A:501993,Q501993,ПП2,1121642406,17,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/Q5019931.webp
Силиконовые чехлы,Honor X6b,A:502030,W502030,ПП2,1123486625,99,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/W502030.webp
Матовые цветные чехлы для печати,Honor X6b,A:506340,W5063401,ПП2,1154150849,4,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/W5063401.webp
Матовые цветные чехлы для печати,Honor X6c,A:501937,W501937,ПП2,726808956,97,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/W501937.webp
Матовые цветные чехлы для печати,Honor X6c,A:501938,W501938,ПП2,726788118,98,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/W501938.webp
Силиконовые чехлы,Honor X6c,A:501941,C501941,ПП2,727242507,63,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/S501941.webp
Силиконовые чехлы,Honor X6c,A:501947,W501947,ПП2,727840437,47,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/W501947.webp
Объемные матовые чехлы молочные,Honor X6c,A:501951,W501951,ПП2,1154852358,27,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/W501951.webp
Матовые цветные чехлы для печати,Honor X6c,A:501956,W501956,ПП2,726826835,101,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/W501956.webp
Матовые цветные чехлы для печати,Honor X6c,A:501957,W501957,ПП2,726828580,30,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/W501957.webp
Силиконовые чехлы,Honor X6c,A:501960,W501960,ПП2,727584572,34,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/W501960.webp
Силиконовые чехлы,Honor X6c,A:501961,W501961,ПП2,727555131,23,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/W501961.webp
Стеклянные чехлы,Honor X6c,A:501978,Q5019781,ПП2,727506067,1,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/Q5019781.webp
Стеклянные чехлы,Honor X6c,A:501980,Q5019801,ПП2,727506623,2,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/Q5019801.webp
Силиконовые чехлы,Honor X6c,A:501984,Q501984,ПП2,727518811,114,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/Y501984.webp
Объемные матовые чехлы коричневые,Honor X6c,A:501993,Q501993,ПП2,1156506320,10,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/Q5019931.webp
Матовые цветные чехлы для печати,Honor X6c,A:502004,W502004,ПП2,726737271,1000000,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/W502004.webp
Силиконовые чехлы,Honor X6c,A:502008,W502008,ПП2,727825850,35,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/W502008.webp
Силиконовые чехлы,Honor X6c,A:502010,W502010,ПП2,1541157001,1,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/W502010.webp
Матовые цветные чехлы для печати,Honor X6c,A:502012,W502012,ПП2,726855029,39,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/W502012.webp
Силиконовые чехлы,Honor X6c,A:502014,W502014,ПП2,1541157057,7,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/W502014.webp
Матовые цветные чехлы для печати,Honor X6c,A:502020,W502020,ПП2,726823230,74,https://s3.twcstorage.ru/35ffc2ef-1e09-463d-a2c4-c183d5deb59a/prints/pp2/W502020.webp
